antiquewhite4	blue	blue2	brown	coral1	cyan	darkgreen	darkmagenta	darkviolet	firebrick4	floralwhite	grey60	mediumpurple2	orangered3	pink	plum	plum2	skyblue	skyblue1	steelblue	thistle2
DPT	CELA2A	FGG	FUCA1	LOC100506869	LINC00624	ACAP3	UQCRHL	MIR4633	KRTAP9-7	ESPNP	CEP104	C16orf82	SALRNA3	NEXN-AS1	LINC00351	MIR8070	C1orf68	TNP2	LOC101928453	SNORA79
MYOC	MIR5096	ACOT12	PNRC2	XLOC_009911	PGLYRP3	CPSF3L	FLJ37453	MIR3145	MIR1250	CROCC	DFFB	KRT17P5	MIR549A	MIR548AP	IL25	TRIM51	KPRP	HS3ST4	LINC00619	LMAN1L
GPR52	MIR3675	MEAT6	SRSF10	LINC00544	PGLYRP4	CPTP	FBXO42	SNORD93	LINC00668	MFAP2	C1orf174	MIR4725	MIR1225	MIR7856	LRRC9	OR6X1	LCE1F	SALL1	ANTXRLP1	PRSS22
LOC440704	PADI2	LOC100130849	NIPAL3	LOC102723968	NPR1	TAS1R3	SDHB	PRSS58	LOXHD1	UBXN10	AJAP1	MIR6718	PRM1	COL11A1	MIR7855	LINC00940	LCE1E	OR7D2	RGR	XYLT1
LINC01222	PADI4	MIR96	SRRM1	MIR3170	CRABP2	DVL1	IGSF21	GDF6	ICAM5	VWA5B1	CHD5	MIR133A1	MIR5189	FNDC7	ZDHHC22	A2MP1	LCE1D	MIR4261	HTR7	FOXL1
TNNT2	LOC101927876	IQCA1L	CLIC4	SNORD111B	ACKR1	MIR6808	MIR1290	LOC102723709	FAM187B	KIF17	RNF207	CCDC105	SNORD91A	KCNA3	LINC00226	KLRF2	LCE1C	FAM138B	GUCY2GP	LOC101928880
PRELP	TAS1R2	LOC392232	SYF2	LOC101927839	SLAMF8	AURKAIP1	EMC1	MIR363	RFPL4AL1	MDS2	ICMT	MYT1L	MIR4733	CHI3L2	CYP1A2	SLCO1C1	LCE1B	LOC284865	LOC101927692	DOC2B
ZNF847P	MIR4695	LOC100500773	RSRP1	SHISA6	SLAMF1	ANKRD65	MRTO4	SAGE1	GBX2	STPG1	NOL9	KCNF1	MIR6867	WNT2B	LINC01586	SPX	LCE1A	PIWIL3	LOC102724957	MIR212
ACTA1	PLA2G2E	MIR1207	TMEM50A	LOC101928418	SLAMF7	LOC102724312	AKR7A3	LOC101929148	KIF1A	RCAN3AS	DNAJC11	GKN1	MIR320C1	C1orf137	HBM	HOXC11	LCE6A	IGLL3P	SAA3P	RCVRN
ACTN2	LINC01141	IFNA5	RHCE	CDRT15	FCRLB	VWA1	AKR7A2	TTTY6	LOC101929625	RCAN3	MIR34A	ACTR3BP2	MBD3L2	RNVU1-20	UMOD	LOC100128554	SPRR2G	A4GNT	SAA1	CCDC144A
RYR2	CAMK2N1	CT45A4	PDIK1L	KC6	MIR4654	ATAD3C	MINOS1	TTTY6B	KRTAP19-7	LOC100506985	LZIC	PROCR	SNORD105B	FALEC	ANKRD26P1	LINC01065	LOC101928009	LRRC31	LOC100507384	USP32P1
FXYD4	MIR378F		LIN28A	MIR4320	SELE	ATAD3B	TMCO4		C22orf42	LOC101928303	NMNAT1	LL22NC03-63E9.3	IFNL4	TMOD4	OR1G1	MIR4502	LOR	LOC101928882	MIR3160-1	YWHAEP7
GDF2	GRHL3		LOC101928324	FFAR1	MIR214	ATAD3A	MUL1		CPN2	UBXN11	UBE4B	LOC728040	MIR769	TCHHL1	SPACA3	OR6S1	FCRL2	HRG	MIR3160-2	LINC00483
GDF10	CATSPER4		ACTG1P20	ERICH4	MIR3120	TMEM240	MIR6084		LOC101927305	NR0B2	KIF1B	MGAT4D	LINC01317	CRCT1	CRHR1	NOVA1	LOC101928751	YIPF7	LRRC55	MIR657
C10orf71-AS1	SESN2		FAM76A	TEAD2	MIR5191	C1orf233	DDOST		NEUROG1	NUDC	CASZ1	FGF10-AS1	MIR4778	LCE3E	RIT2	TMCO5B	IL20	UGT2B28	LPXN	MIR3065
C10orf71	CSMD2-AS1		STX12	SYT3	CD34	MIB2	ALPL		MIR3925	FCN3	MASP2	MIR4461	MIR128-1	LCE3D	LINC00305	SLC28A2	C4BPA	GPM6A	MIR6503	MIR338
LINC00845	LINC01343		SCARNA1	LINC00487	BATF3	MMP23B	LOC101928043		LOC100506895	CD164L2	MTOR	LINC01470	SCN2A	LCE3B	MIR181D	LOC100996338	MIR664A	MIR4277	MS4A7	LINC00470
DNAJC12	TMCO2		DNAJC8	LINC01103	SLC30A10	MMP23A	C1QB		MIR4285	LINC01225	MTOR-AS1	LOC285627	ALPI	LCE3A	LINC00570	MT1DP	IBA57-AS1	LOC101929660	MS4A1	CPLX4
TBATA	LOC339539		PHACTR4	LINC01594	FAM89A	NADK	TCEA3		OR2A25	LINC01226	CLCN6	LOC102546299	LOC101927797	SPRR4	GTF2A1L	TBC1D26	TRIM67	LOC101926940	MIR7155	MC4R
SYNPO2L	KLF17		TAF12	DLX1	IL2RA	PRKCZ	LOC101928163		NKX2-6	COL16A1	VPS13D	LINC01411	KRTAP21-1	SPRR1A	MIR5000	LOC101928567	MAP1LC3C	GCNT4	LOC101928847	NETO1
LDB3	LOC101926964		GMEB1	CRYGB	CCDC3	FAAP20	PITHD1		CHRNB3	CCDC28B	SNORA59B	MIR4642	LINC00870	SPRR1B	VWC2L-IT1	CCDC144NL-AS1	OR1C1	OTP	CD3G	LOC100505817
LINC00864	LINC01359		YTHDF2	CHRND	MYO3A	SKI	GALE		LCN8	IQCC	SNORA59A	DEFB112	ZIC1	SPRR2D	COL4A4	LOC101927166	GAD2	LINC01340	MIR125B1	MIR6792
ANKRD1	MIR3671		LOC101928460	LINC01433	PTCHD3	PEX10	HMGCL		PAGE1	DCDC2B	MIR6730	LOC101930010	C3orf79	SPRR2B	COL4A3	LOC101927188	MIR3611	FBN2	CRTAM	MIR181C
XLOC_008559	PDE4B		PUM1	MIR1302-5	KIAA1462	PLCH2	MTFR1L			AZIN2	PRDM2	LOC100129603	MIR944	SPRR2E	LOC149950	MIR8057	LINC01375	IL9	OR8G1	LOC101929144
GOLGA7B	DEPDC1-AS1		PTP4A2	GADL1	DRGX	PANK4	AUNIP			CSMD2	KAZN	PAPOLB	MIR4797	SPRR2F	EDN3	LINC00661	RBP4	DRD1	OR8G5	PLEKHG2
NRAP	PIN1P1		MIR5585	POU1F1	C10orf99	LOC115110	STMN1			TEKT2	TMEM51-AS1	NPY	PCDH10	SPRR2C	ZNF385D-AS1	LOC102723617	C10orf62	GPR6	MIR6090	LGALS13
OR52E6	CTH		ZBTB8A	LOC90246	LIPK	TNFRSF14	MIR3917			OSCP1	CELA2B	LOC100507468	MIR7849	PRR9	C3orf84	MIR4436A	LBX1-AS1	LOC101927446	CCND2-AS1	CD177
DKK3	LOC101927244		ZBTB8OS	FOXL2	LIPM	LOC100996583	PAFAH2			DNALI1	DNAJC16	MIR182	LINC01099	S100A7A	MIR4787	CRYGD	LOC101927419	DEFB109P1B	CCND2	LAIR2
CSRP3	LHX8		RBBP4	CSN1S2AP	ANKRD22	FAM213B	SLC30A2			COL9A2	RSC1A1	NRG1-IT1	LOC100506272	S100A7	FGF12-AS1	MYL1	MIR202HG	DEFB104A	CD163L1	NLRP2
MYBPC3	ASB17		SYNC	LINC00989	FAS-AS1	MMEL1	ZNF593			FAM183A	SPEN	NRG1-IT3	CDH18	S100A3	LINC01095	COL6A3	KRTAP5-3	DEFB104B	CLEC12A	LINC01115
P2RY6	ST6GALNAC3		ZSCAN20	MIR1255A	IFIT2	LINC00982	CEP85			MPL	CROCCP3	FLJ46284	MIR874	NUP210L	MIR4803	GFRA4	OR52H1	DEFB107A	CLEC12B	C2orf91
NCAM1	CLCA4		ZMYM6NB	LOC339975	IFIT3	ARHGEF16	SH3BGRL3			CCDC24	NBPF1	C8orf87	SNORA74A	PKLR	SOX30	FTCD	OR2AG1	DEFB107B	KLRC4-KLRK1	CYP27C1
MFAP5	LOC101927844		ZMYM6	CTD-2350J17.1	IFIT1	MEGF6	AIM1L			C1orf228	MST1P2	C9orf92	LOC101926975	BGLAP	LOC101928516	POM121L9P	OR2D2	ZMAT4	KLRK1	MIR149
PDE3A	LINC01364		ZMYM1	SNORA47	IFIT5	TPRG1L	DHDDS			BEST4	MST1L	IFNA4	OR2H2	PEAR1	LOC101927919	AP1B1P1	OR2D3	ST18	KLRC4	TMEM239
KCNJ8	GBP5		ZMYM4	LOC100507194	LINC01514	SMIM1	HMGN2			TCTEX1D4	PADI1	PGM5-AS1	LOC100132735	CYCSP52	LOC102723831	CACNG2	MIR3161	LINC01230	KLRC2	ADRA1D
C1QL4	BARHL2		CLSPN	PRL	MIR146B	LRRC47	PIGV			PTCH2	RCC2	LOC100128593	MIR591	PYHIN1	MIR3692	MIR138-1	OR6Q1	CNTFR-AS1	KLRC1	MIR6871
MIR6757	MIR137HG		AGO3	C4B	COL17A1	LINC01134	GPN2			CCDC17	IFFO2	SHOX	MIR548O2	SLAMF9	MIR1183	MYLK-AS2	OR10V2P	FOXD4L5	TAS2R42	WFDC9
LRRC10	LOC100129620		THRAP3	C4B_2	MIR936	RPL22	KDF1			KNCN	UBR4	MIR501	MIR6851	KCNJ9	MIR550A3	GPR149	TCN1	SPATA31D4	RNU6-19P	BMP7-AS1
NTS	DNAJA1P5		MEAF6	GLP1R	OR51B6	LOC102724450	TMEM222			SLC5A9	AKR7L	XAGE2	MIR1299	LOC101928372	OR2A12	SHOX2	MS4A3	NTRK2	C12orf77	MIR3195
DCN	LOC101928476		GNL2	LOC101926915	OR56B1	LINC00337	GPR3			RAB3B	LOC100506730	LOC101928128	MIR4478	LOC440700	PMP2	USP17L11	MS4A13	OR1Q1	HOTAIR	MIR99A
MYL2	AKNAD1		RSPO1	TINAG	OR52N1	GPR153	RPA2			LOC100507564	HTR6	DAZ3	MIR3154	LINC00626	INSL6	USP17L18	CATSPER1	LCN9	GTSF1	CLDN14
LINC01405	GNAI3		C1orf109	LOC102724000	DCHS1	HES2	ATPIF1			LDLRAD1	OTUD3	DAZ2	MIR4669	DNM3OS	ZNF645	USP17L13	FOLR3	GAGE6	NCKAP1L	KRTAP10-2
SDSL	MIR197		MTF1	WISP3	OR10A2	ESPN	MED18			TCEANC2	HP1BP3	CDY1B	TLR8-AS1	SLC9C2	LPAR4	THEGL	MMP27	PAGE4	IFNG	KRTAP10-3
TBX5	GNAT2		SF3A3	LOC100287632	OR5P3	TNFRSF25	TRNAU1AP			NEGR1	EIF4G3	CDY1	DDX53	SNORD81	PAK3	CTD-3080P12.3	ELMOD1	PABPC1L2B-AS1	IL22	MIR648
TBX5-AS1	UBL4B		UTP11L	LOC541472	PTPN5	PLEKHG5	RAB42			ERICH3-AS1	NBPF3		MPC1L	RPS10P7	XPNPEP2	FAM170A	LOC643923	SPANXA2-OT1	LOC100507195	MIR1286
ADGRD1	KCNA2		GJA9-MYCBP	IL6	ANO5	TAS1R1	MECR			LOC101927342	CDC42		PPP1R2P9	SNORA77	FRMD7	STK32A	HTR3A	CSPG4P1Y	PAH	GGTLC2
P2RX2	CD53		MYCBP	MIR550A2	LUZP2	ZBTB48	SNRNP40			HFM1	ZBTB40			LINC00260		MIR3912	NXPE1		KCCAT198	GGT1
LINC00297	CHIAP2		GJA9	MIR550B2	APLNR	KLHL21	ZCCHC17			AMY1A	EPHA8			LINC00628		SCGN	LOC649133		RFX4	IL17REL
PRR20E	C1orf162		RHBDL2	WNT16	UBE2L6	PHF13	PEF1			AMY1C	EPHB2			TMEM81		SAMD5	LOC101929427		LOC100505978	KRBOX1-AS1
PRR20A	HSD3BP4		AKIRIN1	OPN1SW	MS4A12	THAP3	SPOCD1			AMY1B	MIR4253			MIR6769B		TWIST1	TAS2R50		CMKLR1	MIR6872
PRR20B	NBPF7		TRIT1	MIR6133	BATF2	SLC45A1	TXLNA			C1orf194	LUZP1			SNORA16B		SNORA15	MIR4698		SDS	PDZRN3
PRR20C	ADAM30		CAP1	STRA8	TRIM53AP	RERE	TMEM234			GSTM2	ZNF436-AS1			LOC101929631		HTR5A	LALBA		MIR3908	MIR4795
PRR20D	FCGR1B		PPT1	MIR3674	AMOTL1	MIR6728	EIF3I			KCNA10	TCEB3-AS1			TGFB2-AS1		KBTBD11	KRT1		LINC00943	LINC00636
KLHL33	GJA8		RLF	MIR6841	MMP10	SLC2A5	BSDC1			PIFO	IFNLR1			MIR194-1		DEFA10P	GPR84		LINC00508	IQCJ-SCHIP1-AS1
CEBPE	LOC101060524		ZMPSTE24	SNORD90	MMP13	GPR157	YARS			AKR7A2P1	NCMAP			LOC101927478		GFRA2	LACRT		MMP17	THPO
MYH6	DRD5P2		ZFP69B	OBP2B	CASP1P2	H6PD	HPCA			TSHB	TMEM57			MT1HL1		XKR4	LOC101927653		BASP1P1	USP17L21
MYH7	FCGR1A		ZFP69	LOC392452	CARD18	SPSB1	TMEM54			PHGDH	LOC646471			C1orf100		SDR16C6P	RPSAP52		LINC01198	USP17L12
MHRT	SV2A		EXO5	GAGE4	RAB39A	LOC100506022	AK2			FAM72D	ARID1A			CALML5		MIR2052HG	LINC01486		LECT1	MIR572
CMA1	ECM1		CTPS1	GAGE5	OR8D4	TMEM201	LOC101929464			FAM72C	PPP1R8			CALML3-AS1		PI15	CCDC63		HS6ST3	PPBPP2
LINC00520	ADAMTSL4-AS1		PPCS	GAGE12I	PKNOX2-AS1	CLSTN1	GJB5			LOC653513	EYA3			PPIAP30		MIR5680	RPH3A		LINC01039	PCAT4
ESRRB	MCL1		EBNA1BP2	GAGE7	NTM	CTNNBIP1	GJB4			LOC101928979	SNHG3			MIR8086		MIR4662B	LOC101593348		METTL21C	PP7080
LOC101928909	ANXA9		MIR6733	ATP1B4	CACNA1C	PEX14	SMIM12			HIST2H3D	RCC1			GJD4		MIR4662A	LOC101927592		GZMB	SLC9A3
SERPINA11	MIR554		LOC101929592	MIR3672	FGF23	C1orf127	PSMB2			HIST2H3C	SNHG12			SEPT7P9		CYP11B2	TMEM132D		LINC00645	IRX4
SERPINA13P	TCHH		EIF2B3	AMELY	CLEC6A	FBXO2	C1orf216			HIST2H3A	SNORD99			FAM25C		PAPPA-AS1	GPR12		MIA2	CTD-2194D22.4
RD3L	RPTN		NASP		CLEC1B	FBXO44	ADPRHL2			RIIAD1	SNORA61			FAM25G		MIR199B	SOHLH2		PTGDR	IRX2
C14orf180	CRNN		GPBP1L1		LINC00941	FBXO6	TRAPPC3			S100A1	SNORA44			FAM25BP		MIR23C	KCTD4		LINC01500	IRX1
TMEM179	SMCP		RPS15AP10		CNTN1	C1orf167	LSM10			C1orf189	SNORA16A			LINC01468		GAGE2E	LINC00462		MIR4708	LOC101927078
SNORD116-13	IVL		TMEM69		ENDOU	MTHFR	MRPS15			AQP10	EPB41			FAM133CP		GAGE8	MIR4703		SLC8A3	LOC101929696
ACTC1	SPRR3		IPP		OR8S1	KIAA2013	LINC01137			ATP8B2	SRSF4			LOC283045		GAGE2D	DIAPH3-AS2		ADAM21P1	DPYSL3
NOX5	SPRR2A		PIK3R3		KRT82	PLOD1	MIR6732			DCST2	SNORD103A			POU5F1P5		GAGE2A	MIR17		LINC00521	MIR146A
LINC00924	S100A9		NSUN4		KRT75	MFN2	CDCA8			MIR92B	SNORD103B			PLA2G12B		GAGE2C	ZIC5		LOC101929241	TRIM31
RPL3L	S100A12		ATPAF1		KRT6B	MIIP	MANEAL			THBS3	KHDRBS1			MYOZ1		GAGE12F	MIR548H1		CXADRP2	TRIM31-AS1
NPW	S100A8		TEX38		KRT6A	MIR6729	YRDC			SCARNA4	KPNA6			KCNMA1		GAGE12D	SERPINA12		GOLGA6L1	MIR1236
SRL	S100A7L2		EFCAB14-AS1		KRT72	DHRS3	C1orf122			MEX3A	HDAC1			KCNMA1-AS1		GAGE12E	LINC00618		HERC2P10	LOC101927082
RBFOX1	SHE		EFCAB14		KRT3	EFHD2	NDUFS5			LRRC71	TSSK3			FAM25A		GAGE12H	MIR342		C15orf53	LINCMD1
COX6A2	RHBG		CYP4B1		KRT4	CASP9	BMP8A			MIR765	S100PBP			CFL1P1		GAGE12C	RORA-AS2		EXD1	ZNF679
CBLN1	C1orf61		CYP4Z2P		IGFBP6	AGMAT	HPCAL4			CADM3	LOC653160			MARK2P9		GAGE12G	RASL12		MIR626	MIR4659A
CCL17	HAPLN2		CYP4X1		STAT2	PLEKHM2	PPIE			CADM3-AS1	SFPQ			PKD2L1		GAGE12B	LINC00593		C15orf59-AS1	MIR4659B
DHRS7C	LOC646268		STIL		SDR9C7	SLC25A34	MYCL			VSIG8	KIAA0319L			TLX1		NAP1L2	CPLX3		FAM169B	USP17L8
MYOCD	CD1B		CMPK1		C12orf56	FBLIM1	MFSD2A			CFAP45	TFAP2E			RPL13AP6		PABPC5	SV2B		GPR139	FAM135B
TBC1D28	OR10K1		FAF1		PTPRR	ZBTB17	ZNF684			ATP1A2	AGO4			BTBD16		PCDH19	LINC01197		HS3ST2	GPR20
UNC45B	OR6Y1		RNF11		LUM	C1orf64	NFYC			KLHDC9	AGO1			GPR26		PLP1	LINC01177		DKFZP434H168	MIR4667
TCAP	OR6K2		EPS15		OAS3	FAM131C	CITED4			UFC1	SH3D21			EBF3		TDGF1P3	PYDC1		KCNG4	C9orf47
KRT28	OR6K3		OSBPL9		OAS2	EPHA2	RIMKLA			PPOX	MIR5581			CALY		GRIA3	KCTD19		IRF8	S1PR3
KRTAP9-2	MNDA		NRD1		HRK	ARHGEF19	PPIH			CFAP126	SNIP1			MUC6		TFDP3	HP		CRYBA1	PPP3R2
MYL4	AIM2		TXNDC12		OASL	RSG1	P3H1			LMX1A	INPP5B			IGF2		LINC00629	OR1D5		ADAP2	LOC101928775
PRAC1	OR10J3		TXNDC12-AS1		P2RX7	SZRD1	C1orf50			MIR921	RRAGC			INS-IGF2		SPANXA1	OR1D4		TMEM132E	NR5A1
SGCA	OR10J5		BTF3L4		PIWIL1	NECAP2	SVBP			ADCY10	MACF1			OR7E12P		SPANXA2	LOC100128006		CCL18	MIR2861
CACNA1G	APCS		PRPF38A		LOC100130238	ATP13A2	ZNF691			FMO3	KIAA0754			ART5		CSAG1	CDRT15P2		IKZF3	OLFM1
TMEM100	ATP1A4		COA7		GJA3	PADI3	SLC2A1-AS1			ANKRD45	PPIEL			OR10A5		TTTY1	GSDMA		CSF3	LCNL1
ABCA8	FCER1G		ZYG11B		GJB2	ARHGEF10L	TMEM125			PAPPA2	PABPC4			SYT9		TTTY1B	KRTAP4-11		KRTAP16-1	CRLF2
MGAT5B	FCGR2A		SCP2		GJB6	KLHDC7A	ELOVL1			ASTN1	LOC101929516			KRT8P41		TTTY2	KRTAP4-6		KLHL10	SUPT20HL2
TEX19	FCGR3A		MIR1273F		FLT1	PAX7	MED8			NPHS2	SNORA55			MRVI1-AS1		TTTY2B	KRTAP4-5		MAPT-AS1	VSIG1
UTS2R	FCGR3B		LRP8		FRY	ALDH4A1	DPH2			LOC101928973	BMP8B			LDHAL6A		PRKY	MIR4316		MIR10A	HS6ST2-AS1
CDH2	LOC400794		NDC1		LINC00457	PQLC2	ATP6V0B			NMNAT2	NFYC-AS1			DBX1		TTTY22	LOC729950		RGS9	AFF2
LINC-ROR	LRRC52		TMEM59		EPSTI1	CAPZB	TMEM53			LMOD1	KCNQ4			LINC01495		USP9Y	LINC00907		CASC17	ZFP92
OR4F17	F5		CYB5RL		ENOX1	MINOS1-NBL1	KIF2C			KLHDC8A	SLFNL1-AS1			FIBIN		DDX3Y	DYNAP		ENPP7	LINC00280
ONECUT3	SELL		SSBP3-AS1		LINC00378	NBL1	SNORD55			CR1L	HIVEP3			LOC105376671		XKRY2	C18orf63		LINC01254	TTTY7
NMRK2	LINC01142		PPAP2B		PCDH9-AS3	PINK1	HECTD3			SPATA45	FOXJ3			C11orf91		XKRY	TBXA2R		LINC01543	TTTY7B
HSPB6	KIAA0040		PRKAA2		LINC00392	PINK1-AS	UROD			HIST3H2BB	LOC100129924			LOC100507144		CDY2B	CASP14		MIR4319	GOLGA2P3Y
COX7A1	TNR		C8A		IRG1	SH2D5	TOE1			RHOU	ERMAP			CHST1		CDY2A	LINC00664		LOC101928167	GOLGA2P2Y
LGALS7	MIR488		OMA1		LINC00559	ECE1	CCDC163P			LOC101927604	MIR6734			SLC43A1		TXLNGY	ZNF676		MIR4529	
LGALS7B	LOC101928778		LINC01135		MIR19B1	RAP1GAP	MMACHC			LINC01132	KDM4A			MS4A2		PRY2	ZNF98		CD226	
CYP2A6	RASAL2-AS1		MIR4711		MIR92A1	LDLRAD2	PRDX1			LOC101928068	KDM4A-AS1			SCGB1D2		PRY	LINC01531		MIR8077	
CYP2A7	CACNA1E		LOC101926944		COL4A1	HSPG2	AKR1A1			LINC01341	ERI3-IT1			SNORA57			UPK1A		FPR3	
CEACAM21	TEDDM1		CYP2J2		COL4A2	LINC00339	TSPAN1			OR2L13	SNORD46			GNG3			UPK1A-AS1		MIR518A1	
TMEM145	LINC00272		NFIA		ECRP	WNT4	RAD54L			UCN3	SNORD38A			CST6			PSG3		KIR2DL4	
CKM	RGSL1		NFIA-AS1		SLC39A2	C1QA	LRRC41			CDNF	ZSWIM5			MIR6752			PSG10P		KIR3DL1	
FOXA3	NPL		TM2D1		TGM1	C1QC	UQCRH			MEIG1	TESK2			GAL			PSG7		KIR2DS4	
HRC	FAM129A		INADL		LOC101927062	HTR1D	FAAH			ACBD7	MAST2			KRTAP5-10			NKPD1		KIR3DL2	
SLC17A7	IVNS1ABP		USP1		EGLN3	ASAP3	LINC01398			CUBN	MKNK1-AS1			PHOX2A			IGFL4		GCKR	
TNNI3	GS1-279B7.1		DOCK7		CLEC14A	E2F2	MKNK1			MIR511	CYP4A11			MIR4459			KLK14		TMEM247	
SBK2	LINC01350		ATG4C		LINC00648	ID3	MOB3C			CASC10	CYP4Z1			MIR326			MIR8061		KCNK12	
MIR6806	PTGS2		ALG6		FRMD6-AS2	RPL11	LINC00853			MIR1915	CYP4A22			GDPD4			ZNF667		MIR216B	
SOX11	PACERR		ITGB3BP		DACT1	LYPLA2	TTC39A			LINC01552	LINC01389			LOC101928896			ZNF667-AS1		LOC101927070	
