V1	V2
ANGPTL4	CXCL3
ANKH	JAG1
ANXA3	TGFB2
AOC3	SV2B
AOC3	SORBS1
AOC3	EBF1
AOC3	THBS4
AOC3	FHL1
AOC3	FZD4
APLP1	FBXO2
APLP1	SPTBN4
APLP1	SOHLH2
APLP1	PARP11
APLP1	KCNH2
APOD	FAM5C
APOD	HPX
AQP1	B4GALT6
AQP1	CDKN1C
AQP1	ITGA7
AQP1	RERGL
AQP1	TRPC6
AQP1	RPL13A
AQP1	GIPC2
AQP1	FAM107A
AQP1	MALL
AQP1	GRRP1
AQP1	PDE2A
AQP1	CCL14
AQP1	TGFBR3
AREG	PTHLH
AREG	EREG
ARHGAP6	PKIA
ARHGEF15	DGUOK
ARHGEF15	TGFA
ARHGEF15	MTUS1
ARHGEF15	CBLN1
ARHGEF15	RAB27A
ARHGEF15	MED14
ARHGEF15	DGCR2
ARHGEF15	PDE11A
ARHGEF15	SOD3
ARHGEF15	C4orf23
ARHGEF15	ANAPC10
ARHGEF15	PDE2A
ARHGEF15	HSPB7
ARHGEF15	PDE3A
ARID5B	CCL16
ARID5B	ARIH2
ARID5B	ZFP36L2
ASPA	ZNF141
ATP1A2	PTGFR
ATP1A2	CSN1S1
ATP1A2	CLIC5
ATP1A2	HBB
ATP1A2	CACNB2
ATP1A2	THYN1
ATP1A2	FTO
ATP1A2	MAOA
ATP1A2	NAALAD2
BHLHB5	CH25H
BHLHB5	ALDH1A1
BIRC5	KIF23
BIRC5	APOBEC3B
BIRC5	TXNL4A
BIRC5	SPAG5
BIRC5	NUSAP1
BIRC5	UBE2O
BIRC5	SNED1
BIRC5	HAPLN1
BIRC5	HN1
BIRC5	PGAM5
BIRC5	UBE2S
BMP7	PPARGC1A
BMP7	INE1
BMP7	FAM76A
BMP7	RANBP1
C14orf139	AASS
C14orf139	TFPI
C19orf6	NUMA1
C7	MYRIP
C7	CNR1
C9orf3	MAGED4B
CALCRL	EMCN
CALCRL	DUSP1
CALCRL	C4orf18
CALCRL	FLT1
CALCRL	NLRP2
CALU	SLC36A1
CALU	ACLY
CAV1	CDO1
CAV1	CLIC5
CAV1	NPR1
CAV1	FHL5
CAV1	CAV2
CAV1	CFH
CAV1	SORBS1
CAV1	KCTD12
CAV1	LHFP
CAV1	FXYD1
CAV1	AKR1C3
CAV1	AOC3
CAV1	ELK3
CAV1	MEOX2
CAV1	LDB2
CBX7	CBX6
CBX7	SLC9A2
CBX7	VILL
CBX7	KIAA0141
CCDC46	PDE10A
CCDC46	TWIST1
CCDC46	LGALS1
CCDC46	COL3A1
CCL14	CMA1
CCL14	APOD
CCL14	MMRN1
CCL14	RUNDC3B
CCL14	IL33
CCL14	EDNRB
CCL14	PHYHIP
CCL14	EIF4G1
CCL14	LPHN3
CCL14	FHL5
CCL21	DBF4B
CD1C	CD1E
CD1C	CCR6
CD34	CXorf36
CD36	MOSC1
CDC14B	ATP1A3
CDC14B	PARD6B
CDH5	GNG11
CDH5	CD93
CDH5	EPAS1
CDH5	LDB2
CDO1	CORO2B
CELSR1	CELSR2
CELSR1	XBP1
CELSR1	SSH3
CENPI	GNL2
CENPI	TUBB
CENPI	BAT3
CENPI	CSTF2
CENPI	PSMD2
CENPI	CDC6
CES1	DLL3
CES1	NM_025064
CFD	NR5A2
CFD	NAALAD2
CFH	DEPDC1
CFH	SLIT2
CFH	FRS2
CFH	ARID5B
CH25H	RGMA
CHRDL1	HBB
CHRDL1	ABCC5
CHRDL1	STEAP1
CHRDL1	C14orf139
CHRDL1	TMEM100
CHRDL1	PPARG
CHRDL1	TGFBR3
CHRDL1	PKP3
CHRDL1	CLEC3B
CHRDL1	CFD
CHRDL1	AOC3
CHRDL1	ENPP2
CHRDL1	GPC3
CHRDL1	ALDH1A2
CHRDL1	ABCA8
CIDEC	PPP1R1A
CIDEC	TNMD
CIDEC	TDGF1
CIDEC	AQP7
CILP	COL16A1
CILP	HIC1
CILP	NEFH
CILP	ZNF280B
CILP	FOXP1
CLDN11	C20orf82
CLDN11	CACHD1
CLDN11	A2M
CLDN11	CPZ
CLDN5	TIE1
CLDN5	KANK3
CLDN5	RAPGEF3
CLDN5	GJA4
CLDN5	APLNR
CLDN5	FAM124B
CLDN5	NPR1
CLDN5	GRRP1
CLDN5	KCNJ8
CLDN5	SV2B
CLDN5	LMOD1
CLDN5	PPM1F
CLDN5	SLCO3A1
CLEC3B	HBA1
CLEC3B	ADD2
CLEC3B	SLIT3
CLEC3B	LUZP4
CLIC5	RHOU
CLIC5	PTPRN2
CNN1	TAGLN
CNN1	MYH11
CNN1	TFR2
CNN1	MYLK
CNN1	LMOD1
CNN1	WFDC1
COL14A1	RUNX1T1
COL14A1	FCER1A
COL14A1	F3
COL14A1	LRRN3
COL14A1	C20orf103
COL14A1	IGF1
COL14A1	TCN1
COL14A1	NR2F1
COL14A1	DST
COL14A1	LAMA2
COL14A1	MAB21L1
COL14A1	MMP23B
COL14A1	PLSCR4
COL14A1	MFAP4
COL14A1	PCSK5
COL14A1	ECM2
COL14A1	ELN
COL14A1	SIM2
COL14A1	DKK2
COL14A1	NOVA1
COL14A1	MEIS2
COL14A1	SPRY1
COL14A1	OGN
COL14A1	FBLN2
COL14A1	HNF1A
COL14A1	CDKN1C
COL14A1	CILP
COL14A1	GPR177
COL14A1	DARC
COL14A1	LHFP
COL14A1	SLIT2
COL14A1	PDZRN3
COL14A1	TGFB3
COL14A1	FMOD
COL14A1	SNCAIP
COL15A1	DPYSL2
COL15A1	EPAS1
COL21A1	GPR115
COL21A1	SSX5
COL21A1	CACNB2
COL21A1	PI3
COL4A1	TUBA4B
COL4A1	SLC22A2
COL4A1	PGF
COL4A1	ENPEP
COL4A1	BMP8A
COL4A1	CSPG4
COL4A1	CDH13
COL4A2	CAB39L
COL4A2	CDC5L
COL4A2	PLAU
COL4A2	IKBKB
COL4A2	NDUFA4L2
COL4A2	MCAM
COL4A2	CCDC72
COL4A2	QKI
CPA3	HPGD
CPA3	SIGLECP3
CPA3	HDC
CPA3	MS4A2
CPA3	RGS13
CPA3	SLC18A2
CPA3	GATA2
CPA3	AMHR2
CPE	FZD9
CPE	RNASE4
CPE	KCND3
CPE	AB051446
CSDA	ATP2B2
CSGALNACT1	RUNDC3A
CSGALNACT1	MAGEB1
CSRP2	HOXA1
CSRP2	TUBB2B
CSRP2	IDUA
CSRP2	ROR1
CUGBP2	RASSF2
CX3CR1	FCGBP
CX3CR1	LTC4S
CX3CR1	HTR1B
CX3CR1	RTN1
CX3CR1	CELSR3
CX3CR1	P2RY13
CX3CR1	CACNA2D3
CX3CR1	CRCT1
CXCL12	PTPRN2
CXCL12	THBD
CXCL12	LPAR1
CXCL12	CLTB
CXCL12	C5orf4
CXCL12	BHMT2
CXCL12	PLN
CXCL14	SPRR3
CXCL2	PTGS2
CXCL2	RGS2
CYP26B1	RBMS2
CYR61	IDH3A
CYR61	RGS2
CYR61	TGFB2
CYR61	ANKRD5
CYR61	LIF
CYR61	NR4A1
CYR61	ATF3
CYR61	ZFP36
CYR61	HBEGF
CYTL1	ERAP1
DARC	CCL21
DARC	VWF
DARC	AF308291
DARC	EMCN
DARC	CD1C
DARC	IL33
DARC	ITM2A
DARC	AQP1
DARC	TESC
DARC	APOD
DARC	MCM3AP
DARC	SRPX
DARC	CCL19
DARC	SELE
DARC	ABCB1
DARC	ABCA8
DARC	C7
DARC	CCL14
DARC	TNXB
DARC	SELP
DARC	NGFR
DARC	CNR1
DDX11	PJA2
DEPDC1	KIF21A
DLC1	TXNIP
DLC1	SAMD4A
DMD	ERRFI1
DMD	NOV
DMD	PODXL
DMD	AF055011
DMD	OR2W1
DPT	SLC9A5
DPT	CFH
DPT	SLIT3
DPT	CELP
DPT	EFHC2
DUSP1	NR4A1
DUSP1	NR4A2
DUSP1	HBB
DUSP1	FOSB
DUSP1	ABCD1
DUSP1	GSN
DUSP1	JUN
DUSP1	BTG2
DUSP1	CD69
DZIP1	FBXO17
DZIP1	SULT2A1
DZIP1	ARHGAP28
DZIP1	SHOX2
EBF1	SLIT2
EBF1	ADH1B
EBF1	LHFP
EDNRB	NMNAT2
EFEMP1	KIF25
EGFR	MET
EGFR	S100B
EGFR	GRM8
EGFR	ANXA3
EGFR	TAS2R13
EGFR	HDAC11
EGFR	DSCR6
EGR1	LEFTY2
EGR1	EGR3
EGR1	RUNX1T1
EGR1	CXCL2
EGR1	SPAG4
EGR1	AF339787
EGR1	EGR2
EGR1	PTGS2
EGR1	JUN
EGR1	U79275
EGR3	C10orf47
EGR3	PLEKHA4
ELN	BTG4
ELN	CILP
ELN	MMP23B
ELTD1	CDH5
ELTD1	GPR116
EMCN	RGS5
EMCN	PECAM1
EMCN	HSPG2
EMCN	ABCC2
EMCN	C7
EMCN	CAV1
EMCN	ACCN1
ENO1	ATP6V1A
ENO1	KCMF1
ENO1	LDHC
ENO1	ADM
ENO1	EPHB3
ENO1	AB011146
ENO1	FBXO32
ENO1	PGRMC1
ENO1	LDLR
ENO1	BTBD7
ENO1	DDIT4
ENO1	PCMTD2
ENO1	CD209
ENO1	NM_018687
ENO1	ULK2
ENO1	PICALM
ENO1	NDUFB8
ENO1	TTLL3
ENO1	CASK
ENO1	VAMP3
ENO1	TMOD3
ENO1	WAC
ENO1	ARFRP1
ENO1	GOLGA8B
ENO1	MTAP
ENO1	PFKP
ENO1	SIRPA
ENO1	GNS
ENO1	COL4A2
ENO1	ATM
ENO1	TKT
ENO1	SUCLG2
ENO1	DLAT
ENPEP	PTPN12
ENPEP	ARPC5
ENPP2	LRMP
ENPP2	RUNDC2C
ENPP2	LYVE1
EPHA3	HYDIN
ESR1	FLNB
ESR1	C6orf97
ESR1	EEF1A2
ESR1	ABAT
ESR1	REPS2
ESR1	NKAIN1
ESR1	EVL
ESR1	ANXA9
ESR1	CACNA2D2
ESR1	MYB
ESR1	SSH3
ESR1	C10orf116
ESR1	FAM134B
ESR1	CSAD
ESR1	BMPR1B
ESR1	SLC16A6
ESR1	CYP2B7P1
ESR1	C4orf18
ESR1	ERBB4
ESR1	WDR19
ESR1	RARA
ESR1	GFRA1
ESR1	NAT1
ESR1	SLC39A6
ESR1	ACADSB
ESR1	SLC19A2
ESR1	FOXD2
ESR1	PADI2
ESR1	CYP2B6
ESR1	REEP1
ESR1	ABLIM3
ESR1	MAPT
ESR1	ACOX2
ESR1	TPRG1
ESR1	HRK
ESR1	CHAD
ESR1	C3orf18
ESR1	KCNE4
ESR1	ARNT2
ESR1	PSAT1
ESR1	ACE2
ESR1	SOX11
ESR1	AGR3
ESR1	KCNK15
ESR1	PLCB4
ESR1	HPN
ESR1	GATA3
ESR1	TNFRSF21
ESR1	C6orf211
ESR1	TPPP
ESR1	AK021495
ETS2	GPR153
ETS2	CAPN3
ETS2	LIF
ETS2	SEMA6B
ETS2	EIF1
ETS2	GRB10
F13A1	ABCB4
F13A1	VSIG4
F2RL2	SYNPO2
F2RL2	CLDN11
F2RL2	IGHA1
F2RL2	ANO1
F2RL2	GEM
FABP4	GYG2
FABP4	PRKAR2B
FABP4	TNMD
FABP4	AKR1C3
FABP4	MAOA
FABP4	LIPE
FABP4	ASPA
FABP4	PPP1R1A
FABP4	SAA1
FABP4	CD36
FABP4	GPX3
FABP4	PDK4
FABP4	PEMT
FABP4	CRYAB
FABP4	GLDN
FABP4	SORBS1
FABP4	PCOLCE2
FABP4	ADH1B
FABP4	LPL
FABP4	AKR1C2
FABP4	CFD
FABP4	GHR
FABP5	GAL
FABP5	TSPAN2
FABP5	CALB2
FABP5	DEF8
FABP5	UCHL1
FABP5	SLC4A10
FAM107A	ZNF675
FAM13C1	EPS15L2
FAM59A	WNT3
FARSA	CSN1S1
FARSA	SPHK2
FARSA	SAFB
FARSA	RNASEH2A
FARSA	COPE
FARSA	GADD45GIP1
FCER1A	CACNA2D3
FCER1A	CPA3
FCER1A	CX3CR1
FCER1A	CLEC10A
FCER1A	CD1C
FCER1A	THYN1
FHL1	GPR116
FHL1	CYP26B1
FHL1	CFD
FHL1	SLC11A1
FHL1	CHRDL1
FHL1	ITIH5
FHL1	CES1
FHL1	CLEC3B
FHL1	KLF4
FHL1	PDE3B
FHL1	CAV1
FHL1	PPARG
FHL1	SLIT3
FHL2	ABCC3
FHL2	FJX1
FIGF	PTPN1
FLRT2	RUNX1T1
FLRT2	ASTE1
FLRT2	RRAD
FLRT2	C18orf51
FLRT2	SNX1
FLRT2	CXCL12
FLRT2	SOBP
FLRT2	HAS1
FLRT2	COL16A1
FLRT2	CUGBP2
FLRT2	CHL1
FLRT2	NOV
FLRT2	DCN
FLT1	KIF1C
FMO1	ALDH1A3
FOS	KLF4
FOS	JUNB
FOS	EGR3
FOS	NR4A2
FOS	EGR1
FOS	IER2
FOS	MGP
FOS	SEMA3G
FOSB	FOS
FOSB	EGR1
FOSB	NR4A1
FOSB	ETS2
FOSB	CXCL2
FOSB	ZFP36
FOSL2	EN2
FOXO1	ETV1
FOXRED2	JMJD5
FREM1	MATN2
FREM1	IGF1
FRZB	ZHX3
FRZB	NT5M
G0S2	TRHDE
G0S2	GPD1
G0S2	SAA1
G0S2	PCOLCE2
G0S2	PPP2R1B
G0S2	RDH5
GALNTL2	WISP2
GAS7	HIST1H2BL
GAS7	GLI2
GAS7	KIRREL
GAS7	F2RL2
GAS7	DIO2
GEM	EGR2
GEM	B9D1
GEM	C8orf4
GEM	NRXN2
GEM	ADAMTS1
GGT5	FBXO22
GNG11	AKAP12
GNG12	GADD45A
GNG12	FABP6
GNG12	DIXDC1
GNG12	FHL2
GNG12	C8orf4
GPD1	PCK1
GPD1	ASPA
GPD1	ACACB
GPD1	CIDEA
GPD1	AQP7
GPD1	AK025194
GPD1	SLC7A10
GPD1	LEP
GPD1	ITGA7
GPD1	TIMP4
GPR116	EMCN
GPR116	SLC16A7
GPRASP1	PDGFD
GPRASP1	MAB21L1
GPX3	ANGPTL4
GPX3	NMNAT2
GPX3	CRYAB
GPX3	SEZ6L
GSN	TGFBR2
GSN	SPTBN1
GSN	THBS1
GYG2	RP1-21O18.1
HABP4	AKAP6
HABP4	C15orf28
HABP4	G6PC
HABP4	FAM149B1
HABP4	ELOVL4
HABP4	CCDC102B
HABP4	LRRC37A4
HABP4	GABRG3
HABP4	KPNA5
HABP4	NOX1
HABP4	PTGFR
HABP4	ZKSCAN4
HABP4	SLC6A6
HABP4	AF130053
HABP4	ZNF287
HABP4	TRPM1
HABP4	TNP2
HABP4	AK023121
HBA2	HBA1
HBEGF	APOLD1
HBEGF	FAM129A
HBEGF	MAFF
HGF	HIGD2A
HGF	GPRIN2
HIST1H3F	MBNL1
HIST1H3F	PMCHL1
HIST1H3F	BC002792
HIST1H3F	HSD17B1
HNMT	NSUN5
HNMT	C3orf63
HNMT	LRRK2
HNMT	P2RY5
HOXA10	HOXA7
HOXA5	HOXA2
HOXA5	HOXA9
HOXA5	HOXA7
HOXA5	LRP4
HOXA7	PPP1R3A
HOXA9	HOXA7
HOXA9	HOXA10
HP	HPR
HS3ST3A1	HS3ST3B1
HSPB2	CAV1
HSPB2	AF116689
HSPB2	HTR1A
HSPB2	SLC34A1
HSPB2	MT1M
ID1	ID3
IGF1	NAALAD2
IGF1	MGP
IGF1	ABCA8
IGF1	CXCL14
IGF1	MAB21L1
IGF1	SFRP1
IGF1	LRRN3
IGF1	ALDH1A1
IGF1	TMEM100
IGF1	CORO2B
IGF1	GIPC2
IGF1	MAP1LC3C
IGF1	ABCA6
IGF1	AKAP12
IGF1	THBS4
IGF1	TGM2
IGF1	TGFBR3
IGF1	F3
IGF1	CHL1
IGFBP6	hCG_1774568
IGFBP6	ERGIC2
IL33	CCL19
IL33	COL21A1
IL33	TMEM180
IL33	BTG1
IL33	C5orf4
IL33	HTR2B
IL33	RABIF
IL33	ABCB1
IL33	ITM2A
IL33	PPAP2A
IL6	CCL2
IL6	HBEGF
IL6	ATF3
IL6	ADAMTS1
IL6	SELE
IL8	ADM
IL8	TBX5
INPP4A	NADK
ITGA7	ATP1A2
ITGA7	HIGD1B
ITGA7	AOC3
ITGA7	MOCS1
ITGA7	SULT1C4
ITGA7	ACACB
ITGA7	SEMA3G
ITGA7	MYH11
ITGA7	PPP2R1B
ITGAV	HUWE1
ITGB1	RIOK2
ITGB1	FRAP1
ITGB5	GALNT10
ITGB5	SUB1
ITGB5	SDC1
ITIH5	RGS3
ITM2A	RHOH
ITM2A	CLEC10A
ITM2A	KRT12
ITM2A	PPFIA4
ITM2A	ALDH1A1
ITM2A	HIST1H4B
ITM2A	ABCB1
ITM2A	SCG3
ITM2A	IGF1
ITM2A	MRPS18C
ITSN1	OPRM1
ITSN1	POU1F1
JAG1	CEACAM21
JAG1	EXOC7
JUN	TRIB1
KANK3	RERGL
KANK3	IK
KCNAB1	SEMA3D
KCNJ8	MOCS1
KCNJ8	GRM4
KCTD12	PLA2G4A
KCTD12	FAM70A
KCTD12	ACTR5
KCTD12	P2RY5
KCTD12	TOMM34
KCTD12	LMO2
KCTD12	PTGER4
KCTD12	PROS1
KCTD12	NR3C1
KCTD12	GIMAP6
KCTD12	AHR
KCTD12	ERAP1
KCTD12	ENTPD1
KDELR3	P4HA2
KIAA0467	PAK2
KIF26A	CDKN1C
KIF26A	INHBB
KIF2C	SKP2
KIF2C	HMMR
KIF2C	DTNA
KIF2C	DUSP6
KIF2C	SLC7A5
KIF2C	MGAM
KIF2C	S100PBP
KIF2C	APOBEC3B
KIF2C	CSAG2
KIF2C	MKI67
KIF2C	E2F2
KIF2C	ZBTB4
KIF2C	FOXRED2
KIF2C	PTTG2
KIF2C	DDX39
KIF2C	CIRBP
KIF2C	UBE2C
KIF2C	KIF20A
KIF2C	CDCA4
KIF2C	C4A
KIF2C	PIF1
KIF2C	C17orf53
KIF2C	HJURP
KIF2C	ORC1L
KIF2C	RAD54L
KIF2C	LRP8
KIF2C	DEPDC1
KIF2C	CGGBP1
KIF2C	CCL20
KIF2C	ATAD3A
KIF2C	CDC25A
KIF2C	RGS20
KIF2C	CEP55
KIF2C	STIL
KIF2C	ETV7
KIF2C	CDCA8
KIT	HLF
KIT	FAM155B
KIT	OLFM4
KLF4	HAS1
KLF4	GNA14
KLHL2	NEK1
KLHL2	ARL15
KRT23	GRAMD2
KRT23	S100A1
LAMA2	FBLN5
LAMA2	CAV2
LAMA2	IGF1
LAMA2	PROS1
LAMA2	ATXN1
LAMA2	HTR2B
LAMA2	PLSCR4
LAMA2	NPR2
LAMA2	ABCA8
LAMA2	SLC16A4
LAMA2	IRS2
LAMA2	FRZB
LAMA2	ITIH3
LAMA2	CPE
LAMA2	CYP27B1
LAMA2	CAMP
LAMC1	X61070
LAMC1	ZNF257
LDB2	LEPR
LDB2	TSPAN7
LDB2	ID3
LDB2	GJA4
LDB2	DAAM2
LDB2	PROS1
LDB2	TIE1
LDB2	PTPRM
LEP	ANGPTL4
LEP	PCOLCE2
LEP	SLC7A10
LEP	NNAT
LEP	SGCG
LEPR	MATN2
LEPR	PTGFR
LEPR	NAP1L2
LEPR	NR3C2
LEPR	EFEMP1
LHFP	COL15A1
LHFP	PLSCR4
LHFP	C1S
LHFP	LTBP2
LHFP	PTPRB
LIMS2	HSPB2
LIMS2	MXRA8
LIPE	PCDH9
LMOD1	NEFH
LMOD1	MYH11
LMOD1	TFPI
LMOD1	FHOD3
LPAR1	CPB2
LPHN2	AKT3
LPHN3	ANGPTL1
LPHN3	WWOX
LPL	LEP
LPL	WDHD1
LPL	RGR
LPL	CD36
LPL	NEUROD1
LPL	GPR109B
LRRN3	PYY
LYVE1	EHBP1
LYVE1	GNAI1
LYVE1	EDNRB
LYVE1	PCYOX1
LZTS1	CRISP2
LZTS1	CHD5
MAB21L1	FTO
MAB21L1	PHYHIP
MAB21L1	PTGER4
MAB21L1	PCDH18
MAB21L1	FAM149A
MAB21L1	IGFBP6
MAB21L1	NLRP1
MAB21L1	LCA5
MAB21L1	SEMA6D
MAB21L1	GPR177
MAB21L1	CLDN11
MAB21L1	CH25H
MAGEH1	AFF1
MAP4	U32581
MAP4	NCOA2
MAP4	PPIA
MAP4	MARCKS
MAP4	KIRREL
MAP4	EIF4G1
MAP4	TOP1
MAP4	C14orf106
MAP4	PPFIA1
MAP4K4	JAG1
MAP4K4	CDH15
MAP4K4	CCDC102B
MAP4K4	ZNF222
MAP4K4	TBC1D1
MAP4K4	C9orf38
MAP4K4	WDTC1
MAP4K4	PDE8A
MAP4K5	PKP4
MAP4K5	IGF2R
MAP4K5	CDC42
MAPRE2	ATP6V0A4
MAPRE2	IL6R
MAPRE2	ASPHD1
MAPRE2	ACTN2
MAPRE2	TCEB3B
MAPRE2	SCGB1D1
MATN2	SNCAIP
MATN2	NOV
MATN2	MPPED2
MCAM	NDUFA4L2
MCAM	GPR4
MCAM	MAN1C1
MCAM	RAD51
MEF2C	LMO2
MEF2C	SIX1
MEF2C	RAD23B
MEF2C	AP1S2
MEOX1	IGF1
MEOX1	MATN2
MEOX1	TESC
MEOX1	FREM1
MEOX1	C14orf139
MEOX1	ANK2
MEOX1	ITIH5
MEOX1	ACVRL1
MEOX1	CLEC10A
MEOX1	ITM2A
MEOX1	TNXB
MEOX1	BMX
MEOX1	SCN3A
MEOX1	SOX18
MEOX1	AQP1
MEOX2	FHL1
MEOX2	DLC1
MEOX2	PTGS2
MEOX2	TEK
MEOX2	FCER1A
MEOX2	DKK2
MEOX2	MEOX1
MEOX2	SLCO4A1
MEOX2	DPYSL2
MEOX2	ABCB1
MEOX2	SPTBN1
MEOX2	TGFBR2
MEOX2	CLEC3B
MEOX2	IL33
MFAP4	CFH
MFAP4	CYP4F3
MFAP4	MMP23B
MFAP4	ZCCHC24
MFAP4	TNN
MFAP4	PTN
MFAP4	ABCA8
MFAP4	GGT5
MFAP4	GEM
MFAP4	EMCN
MFAP4	FLRT2
MFAP4	CH25H
MFAP4	ZFP36L2
MFAP4	IGFBP4
MFAP4	LPAR1
MFAP4	FCER1A
MFAP4	SESN1
MFAP4	SCN3A
MFAP4	PPM1E
MFAP4	CRISPLD2
MFAP4	TK2
MFAP4	RUNX1T1
MGP	SSH3
MGP	C17orf60
MGP	VTCN1
MICAL2	TUBB2A
MMP1	MMP13
MMP1	THAP3
MMP1	WT1
MMP1	S100A9
MMP1	C9orf68
MMP1	SULF1
MMP1	AQP9
MMP23B	CRY2
MMRN1	TM4SF20
MMRN1	IL33
MS4A2	KITLG
MS4A2	CTSG
MS4A2	GHR
MT1M	TMPRSS4
MYCT1	SOCS3
MYH11	ZNF667
MYH11	ALB
MYH11	MAGEB4
MYH11	NTRK2
MYH11	KIAA1009
MYH11	CORO2B
MYH11	TAC1
MYO1B	NDUFA5
NAALAD2	ACADL
NAALAD2	MAB21L1
NAALAD2	PENK
NADK	CDH9
NADK	TBX1
NADK	STMN3
NADK	STX16
NADK	PTK2
NAV3	RAI2
NES	CBR1
NLGN4X	LGALS7
NLGN4X	NLGN4Y
NLGN4X	SERPINB2
NLRP1	CD58
NLRP1	APOBEC3F
NLRP1	TNFRSF25
NLRP1	NM_014122
NOV	PRELP
NPR1	BAALC
NPR1	CSN1S1
NPR1	PPARG
NR2F1	TFR2
NR2F1	FAM59A
NR2F1	GREM2
NR3C2	MBP
NR3C2	MUC7
NR4A1	IL24
NR5A2	CADM1
NRP1	SCARB1
NRP1	JAG1
NRXN2	TMEM100
NUP210	CYFIP2
OGN	BC005856
OGN	PAQR4
OGN	NOP16
OGN	BAZ2B
OSBPL8	ABCB6
P2RY5	XCR1
P2RY5	TNFSF12
P2RY5	ZNF302
P2RY5	SYNGR4
P2RY5	CAMK2A
P2RY5	TLR3
P2RY5	BC006134
P2RY5	FRZB
PAM	S100A6
PAM	RUSC2
PCDH12	NM_014162
PCDH12	FSD1
PCK1	CIDEC
PCK1	MEOX2
PCK1	GYG2
PCK1	PCOLCE2
PCOLCE2	FGFBP2
PCOLCE2	FABP5
PCOLCE2	TF
PCOLCE2	DGAT2
PCSK5	RUNX1T1
PCSK5	SCML1
PCSK5	PDZD2
PDE2A	CLEC3B
PDE2A	CLDN5
PDE2A	ITGA7
PDE2A	LDB2
PDE3B	NMT2
PDGFA	KCNJ2
PDGFD	CEP68
PDGFD	FRZB
PDZRN3	ASCL2
PDZRN3	FFAR2
PDZRN3	PAM
PDZRN3	TCF7L2
PECAM1	CSF1
PECAM1	AOX1
PECAM1	CFI
PECAM1	MATK
PECAM1	SLC11A2
PECAM1	SLC22A1
PECAM1	THBD
PECAM1	CYTL1
PECAM1	FRMPD1
PECAM1	GTPBP3
PECAM1	LMO2
PECAM1	TXNIP
PELI2	HCN2
PGF	HAL
PGM5	TNXB
PLA2G4A	DMD
PLA2G4A	PTPRZ1
PLA2G4A	CMKLR1
PLA2G4A	PTGS2
PLA2G4A	QPCT
PLA2G4A	PTGFR
PLA2G5	RAP2B
PLA2G5	PYGO1
PLAUR	TMEM158
PLAUR	SLC11A1
PLAUR	LMNA
PLAUR	BRI3
PLAUR	SLC16A3
PLAUR	MMP14
PLAUR	BMP1
PLEKHF1	C9orf45
PLIN	ACSM5
PLIN	SORBS1
PLIN	CIDEA
PLIN	LGALS12
PLIN	ITGA7
PLIN	LPL
PLIN	CAV1
PLIN	PCK1
PLIN	GPD1
PLIN	GHR
PLIN	CFD
PLIN	CIDEC
PLIN	FHL1
PLIN	TIMP4
PLIN	LEP
PLIN	LIPE
PLIN	AOC3
PLIN	ADIPOQ
PLIN	ADH1A
PLIN	GPX3
PLIN	RBP4
PLIN	ADH1B
PLIN	G0S2
PLIN	FABP4
PLN	SUSD5
PLN	SCNN1B
PLOD2	PRRG1
PLOD2	SLC4A4
PLOD2	IL1RAP
PLSCR4	RELL1
PLSCR4	PJA2
PLSCR4	PRR19
PLSCR4	SH3D19
